Topic,AgeGroup,SchoolLessonandFilm,FilmRepetition,FilmOnce,SchoolLessonOnce
Free Recall,8 years old,18.8,19.9,17.5,17
Free Recall,10 years old,29.2,32.9,22.9,23.5
Open-Ended Questions,8 years old,62.1,66.3,48.4,48.1
Open-Ended Questions,10 years old,78.2,73.6,65.2,63.3
Recognition Questions,8 years old,93,95.5,86,86.7
Recognition Questions,10 years old,93.9,94.8,90.7,91
Important Information,8 years old,64.2,66.7,52.7,50
Important Information,10 years old,80.1,75,71.5,66.3
Unimportant Information,8 years old,54.6,51,44.6,50
Unimportant Information,10 years old,73.9,62.5,54.2,68.8
Metaknowledge,8 years old,3.1,3.5,3.3,3
Metaknowledge,10 years old,3.5,3.4,3,3.2
Interest,8 years old,4.2,4.2,4.4,4
Interest,10 years old,4.4,4.2,4.1,4.3
Motivation,8 years old,4.1,3.5,4,4
Motivation,10 years old,4.2,4.1,3.9,4.2